Participante,Fase,Auto-amabilidad,Humanidad_comun,Mindfulness,Auto-juicio,Aislamiento,Sobre-identificacion
Part3,FASE 1 POST,3.4,2.5,3.0,3.6,3.25,3.75
Part1,FASE 1 POST,3.8,2.25,3.75,2.8,2.75,2.0
Part2,FASE 1 POST,3.8,5.0,4.0,4.6,4.0,4.5
Part4,FASE 1 POST,3.6,4.25,2.5,2.8,3.25,4.25
Part3,FASE 2 PRE,4.2,3.5,3.25,4.4,3.25,4.75
Part1,FASE 2 PRE,4.0,2.5,3.75,2.0,2.25,2.5
Part2,FASE 2 PRE,3.4,4.5,3.75,4.6,4.0,4.0
Part4,FASE 2 PRE,2.2,3.0,3.25,3.0,2.75,3.0
Part3,FASE 2 POST,3.2,3.5,3.5,4.2,3.0,3.25
Part1,FASE 2 POST,4.0,3.0,4.0,2.8,1.5,2.0
Part2,FASE 2 POST,3.4,3.5,3.0,5.0,2.5,3.25
Part4,FASE 2 POST,3.2,2.75,2.75,3.0,3.5,3.0
